Repo,File Name,Test File,LLM Model Used,Prompt,Done By,PR,Passing Tests after,Execution Time before,Execution Time After,LOC Before,LOC After,Test Case Coverage  %,Radon Score ( Out of 100),Radon Score(Out of 100) Measures Readability,Comments,,,,Unique test files,,Unique Repositories
https://github.com/scrapy/scrapy,contracts/__init__.py,test_contracts.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6667/files,7/14,,,,,,,,,,,,contracts/__init__.py,,https://github.com/scrapy/scrapy
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6668/files,14/14,,,,,,,,,,,,,,
,utils/url.py,test_utils_url.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6669/files,75/78,,,,,,,,,,,,utils/url.py,,https://github.com/se2p/pynguin?utm_source=chatgpt.com
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6670/files,78/78,,,,,,,,,,,,tyepesystem.py,,https://github.com/sharp1230/pymor/tree/cd773fea0e791cdfa5246cc77af50fe2523fbd62
,,,,,,,,,,,,,,,,,,,Cali.py,,https://github.com/tokuhirom/jawiki-kana-kanji-dict
https://github.com/se2p/pynguin?utm_source=chatgpt.com,tyepesystem.py,tests/analyses/typesystem.py,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/85/files,200/200,0.38s,0.34s,,,,,,,,,,scr/pymore/reductors/lowner.py,,https://github.com/crystalchan2001/OktoberfestAccomodation
,Cali.py,tests/types.py,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/86/files,21/21,0.19s,0.12s,,,,,,,,,,pymor/src/pymor/models/symplectic.py,,https://github.com/codefresh-contrib/python-flask-sample-app
,,,Claude 3.5 Sonnet,,Paiman,https://github.com/se2p/pynguin/pull/87/files,21/21,0.19s,0.14s,,,,,,,,,,pymor/src/pymortests/fixtures/grid.py,,\\https://github.com/Cloudxtreme/linux-client
,,,,,,,,,,,,,,,,,,,pymor/src/pymor/core,,https://github.com/amosbastian/fpl
https://github.com/sharp1230/pymor/tree/cd773fea0e791cdfa5246cc77af50fe2523fbd62,scr/pymore/reductors/lowner.py,test_lowner.py,GPT 4o,,Paiman,unable to make pull request,48/48,19.1s,17.1s,347,298,,,,,,,,converter.py,,https://github.com/gristlabs/asttokens
,scr/pymore/reductors/lowner.py,test_loewner.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,36/48,19.1s,17.1s,347,292,,,,,,,,post_validate.py,,https://github.com/censys/censys-python
,pymor/src/pymor/models/symplectic.py,scr/pymoretest/models/model.py,GPT 4o,,Paiman,unable to make pull request,99/99,13.4s,10.2s,192,182,,,,,,,,mapper.py,,https://github.com/github-pengge/inpainting/tree/5a51237a3a54e8f27a780cc43270569a05cb1198
,pymor/src/pymor/models/symplectic.py,scr/pymoretest/models/model.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,99/99,13.4s,10.8s,192,187,,,,,,,,auth.py,,https://github.com/pystitch/stitch
,pymor/src/pymortests/fixtures/grid.py,affine_grid.py,CPT 4o,,Paiman,unable to make pull request,20/34,4.67s,60s,125,86,,,,,,,,blog.py,,https://github.com/timonwong/cyksuid/tree/master
